,Iteration: Iteration,Drag in X Monitor: Force (N),Iteration,Drag in X Monitor: Drag in X Monitor (N)
0,1.0,3091.550123633487,,
1,2.0,1990.6340907088927,,
2,3.0,1263.8715599638344,,
3,4.0,792.3827121412073,,
4,5.0,487.16982653573257,,
5,6.0,295.4451364996196,,
6,7.0,178.25656123575044,,
7,8.0,112.3000687789008,,
8,9.0,77.47461791102755,,
9,10.0,61.68241840027313,,
10,11.0,53.33016427123316,,
11,12.0,47.521840040244975,,
12,13.0,43.04056101007727,,
13,14.0,39.352602210658965,,
14,15.0,36.348210958161246,,
15,16.0,33.98856317766197,,
16,17.0,31.81714306692613,,
17,18.0,29.44427079543008,,
18,19.0,27.339437503047996,,
19,20.0,25.00677971219533,,
20,21.0,22.850337691266933,,
21,22.0,20.851120867867905,,
22,23.0,19.053850407491776,,
23,24.0,17.483868182696988,,
24,25.0,16.151220446604984,,
25,26.0,14.984755115712186,,
26,27.0,14.058323662819417,,
27,28.0,13.199827933315843,,
28,29.0,12.494192624777522,,
29,30.0,11.876346422928457,,
30,31.0,11.321106573448244,,
31,32.0,10.859386708118516,,
32,33.0,10.40103268605262,,
33,34.0,10.0269742029049,,
34,35.0,9.6545026585849,,
35,36.0,9.345554487293304,,
36,37.0,9.02169985708287,,
37,38.0,8.763136136789061,,
38,39.0,8.49025819257512,,
39,40.0,8.274240716509974,,
40,41.0,8.04446978952872,,
41,42.0,7.866896461842329,,
42,43.0,7.689611466738446,,
43,44.0,7.52531811813689,,
44,45.0,7.378300838810378,,
45,46.0,7.242713249894774,,
46,47.0,7.1176905562336525,,
47,48.0,7.0013660349519595,,
48,49.0,6.8941912140945965,,
49,50.0,6.794866045523854,,
50,51.0,6.702375720027919,,
51,52.0,6.615966710679466,,
52,53.0,6.535766377534859,,
53,54.0,6.4600632855437485,,
54,55.0,6.388727058208092,,
55,56.0,6.323579628165168,,
56,57.0,6.263917072524633,,
57,58.0,6.209285488174699,,
58,59.0,6.166541475889294,,
59,60.0,6.113082076768213,,
60,61.0,6.076305120275186,,
61,62.0,6.032431920059511,,
62,63.0,6.002809678308701,,
63,64.0,5.974257355070835,,
64,65.0,5.947963347089756,,
65,66.0,5.928657340065402,,
66,67.0,5.902148215068131,,
67,68.0,5.88814389561324,,
68,69.0,5.874491734890533,,
69,70.0,5.858777001558392,,
70,71.0,5.8476040616669405,,
71,72.0,5.833778430745138,,
72,73.0,5.823044342545806,,
73,74.0,5.808847452756087,,
74,75.0,5.796732500524142,,
75,76.0,5.781849137282193,,
76,77.0,5.767030372250966,,
77,78.0,5.751467488397163,,
78,79.0,5.735861663908764,,
79,80.0,5.719889947921791,,
80,81.0,5.703340836732711,,
81,82.0,5.686124325549444,,
82,83.0,5.668141537457492,,
83,84.0,5.649458157616294,,
84,85.0,5.630309265270144,,
85,86.0,5.6109575295540255,,
86,87.0,5.591389001991731,,
87,88.0,5.571678740793642,,
