"Iteration: Iteration","Lift Coefficient Monitor: Force Coefficient"
1,9.3183690891659161
2,5.6594726928475811
3,2.8300324241291164
4,1.4469984774627722
5,1.0706754523094173
6,0.8357884689475612
7,0.70899828511468976
8,0.6726097512772844
9,0.69237324074899709
10,0.88027885036776887
11,0.92858003775554809
12,0.96577793935977352
13,0.99216100223034953
14,1.0166944323952039
15,1.0405300721501087
16,1.0655599253648593
17,1.0969769985609656
18,1.1208569568499638
19,1.1436807228787063
20,1.1712817658649779
21,1.1927994226794567
22,1.2130669842827708
23,1.2334287006508
24,1.2526297710160217
25,1.2713904626845534
26,1.2892471372380638
27,1.3058312953811264
28,1.3214973940197055
29,1.3361966634990807
30,1.3502909958096074
31,1.3634039057575411
32,1.375749053128021
33,1.3873717157617766
34,1.3981285879893475
35,1.4079387244105508
36,1.4169295023726394
37,1.4252590647253374
38,1.4329106667640457
39,1.4395971676235584
40,1.4455830413746329
41,1.4502916047060546
42,1.4556025776757076
43,1.459119236738246
44,1.4626786811885337
45,1.4657951884664904
46,1.4677019633152899
47,1.4696103353851022
48,1.4705400720161712
49,1.4714808083755211
50,1.4716157529767562
51,1.4716553243988377
52,1.4714103051026537
53,1.4705045289039271
54,1.4694612340939792
55,1.4679003966254165
56,1.4664735100489661
57,1.4642629285290731
58,1.46289054116608
59,1.4609529482969954
60,1.4586495338317151
61,1.4562370555761972
62,1.4536701197212831
63,1.4513190697292673
64,1.4497325242016517
65,1.4471876464025313
66,1.4457969658815153
67,1.4437366999875221
68,1.4426326197949575
69,1.4416110667006856
70,1.4410564107401471
71,1.4395975013420288
72,1.4393410952519845
73,1.4391938218465137
74,1.4391256684103195
75,1.4393706973320288
76,1.4404134057249467
77,1.440925819481063
78,1.4426441901133851
79,1.4436639475741944
80,1.4454381612782599
81,1.447044000852143
82,1.4487233966703001
83,1.4505893068800131
84,1.4526682901157919
85,1.4549272911022413
86,1.4573144016933774
87,1.4598093563314429
88,1.4622665384396587
89,1.4647720201185488
90,1.4673463854868702
91,1.4699485508308985
92,1.4725701294767881
93,1.4752261015784529
94,1.4778300191066223
95,1.4804306934619478
96,1.4829424425443722
97,1.4854750438235584
98,1.4879079840208824
99,1.4903948668112585
100,1.4927517567149444
101,1.4950733833395988
102,1.497319395538399
103,1.4994825219293333
104,1.5015617908217516
105,1.5035842778461848
106,1.5055597434021053
107,1.5074746599697
108,1.509327252710442
109,1.5111603129848883
110,1.5128799896442189
111,1.5145375880926657
112,1.5161829309196109
113,1.5177805572652319
114,1.5193028610824602
115,1.5207584923672006
116,1.5221670223162362
117,1.5235257555337527
118,1.5248123977903063
119,1.5260714432503839
120,1.5272975736704937
121,1.5284674822892523
122,1.5295869668167177
123,1.5306582701246558
124,1.5316898492021143
125,1.5326818319687645
126,1.5336257633438988
127,1.5345270373423254
128,1.5353837952518457
129,1.5362038915921239
130,1.5369873451941554
131,1.5377342477979137
132,1.5384447571330442
133,1.5391240081404542
134,1.5397767861648712
135,1.5404061915871972
136,1.5410049315945102
137,1.5415731952629759
138,1.5421190317888209
139,1.5426455595561614
140,1.5431521435081279
141,1.5436556889357669
142,1.5441383777567945
143,1.5446116545851902
144,1.545078343825276
145,1.5455366739618066
146,1.54599515561031
147,1.5464601624919354
148,1.5469240096651504
149,1.5473877109535159
150,1.5478649018040409
151,1.5483338569293232
152,1.5488183777729598
153,1.5493187531495685
154,1.5498314307421794
155,1.5503623345762396
156,1.5509092406038361
157,1.5514757795321588
158,1.5520715877602349
159,1.5526783383448584
160,1.5532937078457603
161,1.5539397498829712
162,1.5547023055427069
163,1.555355462171452
164,1.5560445427016167
165,1.5567723556501512
166,1.5575276498215016
167,1.5583113576969567
168,1.5591159744009537
169,1.5599457175756217
170,1.5607963689301569
171,1.5616662725635557
172,1.5625518757355679
173,1.5634655668267814
174,1.5643911621126052
175,1.5653325480198292
176,1.5662887171347892
177,1.5672498621016564
178,1.5682341110883933
179,1.569231705843767
180,1.5702386354826818
181,1.571252906185955
182,1.5722730872290034
183,1.5732968326604624
184,1.5743250461547758
185,1.5753605191999096
186,1.5763973213406066
187,1.5774405907928468
188,1.578476664928715
189,1.5795088588376456
190,1.580539933942066
191,1.5815685593787756
192,1.5825936789991495
193,1.5836935333391773
194,1.5845938817431171
195,1.5856860315658634
196,1.5866662687485533
197,1.5876467295620207
198,1.5886254986294979
199,1.5896015567189989
200,1.5905682816425208
201,1.5915326811867059
202,1.592487581687924
203,1.5934341892050148
204,1.5943724566554109
205,1.5953017362722874
206,1.5962218768581788
207,1.5971346906256056
208,1.5980377550465958
209,1.5989325293918124
210,1.5998321919858041
211,1.6007080371133318
212,1.6015750676361964
213,1.602438125651692
214,1.603294855624547
215,1.6041450518237912
216,1.6049886437484624
217,1.6058257134900376
218,1.6066563746950033
219,1.6074805971288524
220,1.6082990317648946
221,1.6091114005967078
222,1.6099192501367992
223,1.6106638217772085
224,1.6114815220832333
225,1.6122925474256831
226,1.6130885207044194
227,1.6138647488708808
228,1.6146380426988838
229,1.6154051056827388
230,1.6161677733455642
231,1.6169243863650915
232,1.6176751505320552
233,1.6184202619248591
234,1.6191600233597374
235,1.6198945572316985
236,1.6206213175617135
237,1.6213455121346239
238,1.6220708860253661
239,1.6227828498471419
240,1.623488678011175
241,1.6241839154918454
242,1.6248767307247338
243,1.6255700960322659
244,1.6262584108126013
245,1.6269446834433048
246,1.6276188665129834
247,1.6282875311974054
248,1.6289516179029901
249,1.6296110471515759
250,1.6302655317411869
251,1.6309149894545412
252,1.6315594661641473
253,1.6321988021933156
254,1.6328331470722455
255,1.6334627720833588
256,1.6340871740749301
257,1.6347083036947052
258,1.6353241382337951
259,1.6359347618918754
260,1.6365405547168661
261,1.6371417904917291
262,1.637738484240423
263,1.6383307235149689
264,1.6389196105621167
265,1.6395022576233866
266,1.6400796360827956
267,1.6406543243078318
268,1.6412249746051313
269,1.6417912788280689
270,1.6423534762101353
271,1.6429111321556857
272,1.6434645118036439
273,1.6440136859339172
274,1.6445588714952211
275,1.6450998929549216
276,1.6456375337021518
277,1.6461721022889724
278,1.6466977924062058
279,1.6472214792926088
280,1.6477414246952444
281,1.6482570517826942
282,1.6487666692268825
283,1.6492767982174921
284,1.6497781791845243
285,1.6502748463997223
286,1.6507673192691315
287,1.6512555040276751
288,1.6517392378797107
289,1.6522183873383662
290,1.6526928938929539
291,1.6531627809830689
292,1.6536280623461588
293,1.6540887643102438
294,1.6545448960968312
295,1.6549963799386147
296,1.6554432224282472
297,1.6558854440970063
298,1.6563222122474748
299,1.6567559181843372
300,1.6571848541925887
301,1.6576095028292954
302,1.6580285407536774
303,1.6584430375645272
304,1.6588535130638327
305,1.6592598021821445
306,1.659661769908944
307,1.6600598686858876
308,1.6604497895582078
309,1.6608397502369725
310,1.661225627386463
311,1.6616068489849807
312,1.6619835950512298
313,1.6623571778505049
314,1.6627250216976914
315,1.6630893349537015
316,1.6634485706733906
317,1.6638054419201638
318,1.6641586619814288
319,1.6645079162440346
320,1.6648533081810097
321,1.6651948958802416
322,1.6655327637549593
323,1.6658669901756507
324,1.666197620238991
325,1.6665281682193205
326,1.6668505294416711
327,1.6671693264071175
328,1.6674853408135932
329,1.6677983938086494
330,1.6681082551891873
331,1.6684148443618887
332,1.6687181083028466
333,1.6690180097555418
334,1.6693146314047889
335,1.669608052998441
336,1.6698982405222218
337,1.670185278422629
338,1.6704697097403374
339,1.6707503191921984
340,1.6710278605451683
341,1.6713025033752584
342,1.6715742970318614
343,1.6718432124880223
344,1.6721092558904997
345,1.6723724441092933
346,1.672632830545286
347,1.6728904367951256
348,1.6731452999743515
349,1.6733974610278246
350,1.6736469095119004
351,1.6738937476531914
352,1.6741380260369554
353,1.6743797365931659
354,1.6746189072323749
355,1.6748555246277745
356,1.6750896742249588
357,1.6753213674345788
358,1.6755506576182051
359,1.6757775439610056
360,1.6760020568679046
361,1.676239997602087
362,1.6764380262364391
363,1.6766713345956328
364,1.6768685323358115
365,1.6770992888998473
366,1.6773066590092818
367,1.6774982636797089
368,1.6777238837804784
369,1.6779252607124411
370,1.6781253291039251
371,1.6783246725643071
372,1.678522843550472
373,1.6787189251718164
374,1.6789136375643094
375,1.679106416968799
376,1.6792972481942867
377,1.6794861019772076
378,1.6796730565680911
379,1.6798581578440175
380,1.6800421114530628
381,1.6802232845881167
382,1.6804026840627044
383,1.6805804254609564
384,1.6807564970135607
385,1.6809308781082084
386,1.6811035578736633
387,1.6812745436537202
388,1.6814438452080307
389,1.6816114887809306
390,1.6817774658631577
391,1.6819418434467517
392,1.6821045834021542
393,1.6822657301502935
394,1.682425275785431
395,1.6825829365380642
396,1.6827394336924972
397,1.6828944270333088
398,1.6830478180729602
399,1.68319966889748
400,1.6833499863507906
401,1.683498832373602
402,1.6836461952851605
403,1.6837921263442137
404,1.6839366062116676
405,1.6840796769731381
406,1.6842213837027913
407,1.6843616740745435
408,1.6845005584156016
409,1.6846381358705598
410,1.6847744039851189
411,1.6849092968488824
412,1.6850428603327867
413,1.685175100059457
414,1.6853061341795583
415,1.6854358512862204
416,1.6855643253321317
417,1.6856916098291779
418,1.6858176577269663
419,1.6859424509790699
420,1.68606606246208
421,1.6861885376623595
422,1.6863098526372409
423,1.6864299600201116
424,1.6865489352199701
425,1.6866667809403157
426,1.686783509705422
427,1.6868991209233106
428,1.6870136265037063
429,1.6871270387454558
430,1.6872393698115868
431,1.687350635273041
432,1.687459966957636
433,1.6875694642869243
434,1.6876777931135514
435,1.6877850226711624
436,1.6878912098013157
437,1.6879963407995817
438,1.6881005511766485
439,1.6882036858469298
440,1.6883058286101886
441,1.6884070269007307
442,1.68850727771396
443,1.6886065888594388
444,1.6887049694254934
445,1.6888024165845434
446,1.6888989414328897
447,1.6889945578588039
448,1.6890892720158437
449,1.689183095849393
450,1.6892760423943523
451,1.6893681148681747
452,1.6894593193422671
453,1.6895496691430656
454,1.6896391894741953
455,1.689727892665472
456,1.6898157615576075
457,1.6899028497478523
458,1.6899891587239615
459,1.6900747036844779
460,1.6901595015686555
461,1.6902435599247581
462,1.6903268865434318
463,1.6904094914897951
464,1.690491382205124
465,1.6905725627381514
466,1.6906530344025537
467,1.6907327669971646
468,1.6908117745260605
469,1.6908901606701461
470,1.6909678405703892
471,1.6910448106570275
472,1.6911210791392133
473,1.6911966534936402
474,1.6912715313586033
475,1.6913457166571848
476,1.6914192200710803
477,1.6914920469174564
478,1.691564203003536
479,1.6916356943018074
480,1.6917065275770273
481,1.691776712055713
482,1.6918462424003964
483,1.6919151353360264
484,1.691983387294854
485,1.6920510250666847
486,1.6921180452391105
487,1.6921844474191847
488,1.6922502393629046
489,1.6923154286865352
490,1.6923800214302125
491,1.6924440228152577
492,1.6925074369904951
493,1.6925702701134802
494,1.6926325268538029
495,1.6926942107165912
496,1.6927553260676138
497,1.6928158769016375
498,1.6928758679689211
499,1.6929353049762177
500,1.6929941904329864
501,1.6930525267407901
502,1.6931103212469891
503,1.6931675761029401
504,1.6932242952895644
505,1.6932804825436309
506,1.6933361418715913
507,1.6933912750513973
508,1.6934458899941363
509,1.6934999889119087
510,1.6935535746723391
