"Iteration: Iteration","Drag in X Monitor: Force (N)"
1,7837.7145509655365
2,4891.7691269545903
3,2860.7993140033286
4,1686.3783844355808
5,1052.7194829481327
6,630.96322100570308
7,381.54671304486396
8,239.71977643265694
9,185.71450980916367
10,172.53093122042569
11,168.55281419874132
12,162.81906522927301
13,155.69207838631257
14,147.49361228470013
15,140.59439263461755
16,132.63734788107706
17,126.64770507248846
18,121.535813776819
19,116.7028637218564
20,112.79171145184597
21,108.81595124222756
22,104.75922585294883
23,101.04212935619334
24,97.781527551150305
25,94.755799503599604
26,91.945161564591729
27,89.607419535266601
28,87.419753895405393
29,85.433408369772053
30,83.56719552901211
31,81.812590179896233
32,80.073109173238151
33,78.372379946318574
34,76.690988613309514
35,75.031160980946254
36,73.388324773937029
37,71.79135526911088
38,70.132620845652653
39,68.473365733439948
40,66.872091625600291
41,65.257317974797118
42,63.670047233610703
43,62.12016445650314
44,60.602156321298452
45,59.223429053365678
46,57.597782620121521
47,56.310659645305293
48,54.888104151288459
49,53.480395625861647
50,52.11642459656268
51,50.797427727506872
52,49.495967762638784
53,48.287257704581265
54,47.142154966911036
55,46.053695731815822
56,45.016240859187477
57,44.035992289826467
58,43.114337867059589
59,42.240584619216492
60,41.439057591430696
61,40.718969338034427
62,40.201565970209813
63,39.460832254583806
64,39.036015229265388
65,38.614007008664089
66,38.222652098014635
67,37.891060187172641
68,37.63606701269164
69,37.504328353034595
70,37.305286085302527
71,37.250213437783572
72,37.225643451748724
73,37.299654030400305
74,37.303642517097217
75,37.43221472293682
76,37.518625384486398
77,37.598219041570246
78,37.69462578191353
79,37.790245925849192
80,37.884272773629888
81,37.963065014743023
82,38.047936356961642
83,38.137101317020679
84,38.150983780393744
85,38.186210468085918
86,38.167271857143376
87,38.165913220624105
88,38.121958197602524
89,38.081320146928192
90,38.018702073841808
91,37.927561485243842
92,37.823717490219991
93,37.708933221595203
94,37.582196587789809
95,37.445216174192339
96,37.300113202600372
97,37.149186065583635
98,36.993107663970363
99,36.837064478863468
100,36.679986952337387
101,36.515009704586745
102,36.354029294501231
103,36.186707944325221
104,36.031551874132347
105,35.881844720528548
106,35.733897874171717
107,35.589159896438971
108,35.446884733664874
109,35.307348345133008
110,35.171015686339089
111,35.036467445188791
112,34.905877616303783
113,34.777180979129312
114,34.652409121251736
115,34.526362407800619
116,34.405310146685366
117,34.284710887948236
118,34.163951375571642
119,34.041771837549675
120,33.920618024327538
121,33.79919320378994
122,33.676647531181501
123,33.552993940521318
124,33.428179269287114
125,33.304772159433483
126,33.177267094036694
127,33.0475622118893
128,32.917383201559119
129,32.78602952264319
130,32.654323777329665
131,32.522071693134549
132,32.389126955143794
133,32.255664658085891
134,32.131337772732977
135,31.982618720907013
136,31.862403211594057
137,31.728497579320617
138,31.595689773511722
139,31.465910290796856
140,31.338127919266825
141,31.211956048660056
142,31.086724566591499
143,30.964887200619799
144,30.846208368253883
145,30.730596933175207
146,30.617810326852762
147,30.509080820840666
148,30.4042079273772
149,30.303118141450781
150,30.205889881319976
151,30.112674801098819
152,30.023589933866859
153,29.938670060522441
154,29.857967808362545
155,29.781550539298891
156,29.709033131427773
157,29.640634506871706
158,29.576296174298818
159,29.515875002314871
160,29.459243644403301
161,29.406273833099988
162,29.356804789323448
163,29.310671690579895
164,29.265606719469758
165,29.22665243110869
166,29.189089553903003
167,29.154049379579419
168,29.121928063220878
169,29.092372973839716
170,29.064951040322256
171,29.03932081159563
172,29.015248558073296
173,28.994133779401153
174,28.970601790208619
175,28.951345180402029
176,28.930153055476396
177,28.913561990862803
178,28.893870197109024
179,28.878766756865375
180,28.859896135805883
181,28.845677177742161
182,28.827897535359043
183,28.81380532455978
184,28.795459312981492
185,28.781608088553682
186,28.763269601159607
187,28.749403083830856
188,28.730847364384374
189,28.716678870395285
190,28.697721050852223
