"Iteration","Drag Coefficient Monitor: Drag Coefficient Monitor"
1.0,8.963566470055026
2.0,5.664612446775151
3.0,3.3435859854421848
4.0,1.9831420263390884
5.0,1.2538545933034337
6.0,0.77056115527934
7.0,0.47869273847992444
8.0,0.3188540397866702
9.0,0.239559406708018
10.0,0.23333539340955178
11.0,0.21370026814955576
12.0,0.22243193480444717
13.0,0.21239303448459865
14.0,0.20211256533493072
15.0,0.19319707153194995
16.0,0.18640110516082037
17.0,0.18161111644314717
18.0,0.1773689407850877
19.0,0.1745306335024145
20.0,0.1711318211509485
21.0,0.1674595110384034
22.0,0.16303516618632097
23.0,0.1585087535628426
24.0,0.15406040422465467
25.0,0.15022238337898824
26.0,0.14678796286155799
27.0,0.14347262009748607
28.0,0.14035384381434798
29.0,0.13730777028331592
30.0,0.13433139891800358
31.0,0.13145586243509574
32.0,0.1285391891840662
33.0,0.125644444252741
34.0,0.12269961151611061
35.0,0.11977601512076017
36.0,0.11684911115448374
37.0,0.113876153756448
38.0,0.11087957583482186
39.0,0.10783861828738336
40.0,0.10479125658597305
41.0,0.1019104392377112
42.0,0.09882613582905264
43.0,0.09576367007299735
44.0,0.09273214235808025
45.0,0.0897121341256579
46.0,0.08671571140676737
47.0,0.08374978792333235
48.0,0.080907730687101
49.0,0.07822436157511473
50.0,0.07518556207701924
51.0,0.07290120071293638
52.0,0.07011203243424996
53.0,0.06800011614449042
54.0,0.06537864212460306
55.0,0.06349664518282855
56.0,0.06108791254816287
57.0,0.059415559389766726
58.0,0.057572252138055224
59.0,0.05587602361751226
60.0,0.05423713151216594
61.0,0.05274623396276301
62.0,0.051413656166793636
63.0,0.05025348444666419
64.0,0.04947377088524818
65.0,0.04840145271038812
66.0,0.047831283465304936
67.0,0.04714232339363442
68.0,0.046822426731333106
69.0,0.04658964599588683
70.0,0.046478475479367454
71.0,0.04631572890636407
72.0,0.04629430895677744
73.0,0.04638770360480063
74.0,0.04671530350720279
75.0,0.04682021937354125
76.0,0.04727995584571201
77.0,0.04743393918773092
78.0,0.04799982169911296
79.0,0.04825514587769239
80.0,0.04868393832582674
81.0,0.04901439356404999
82.0,0.04931988660307768
83.0,0.04962456224807174
84.0,0.04991795499144261
85.0,0.050187337327541104
86.0,0.050426194701902044
87.0,0.050618698963493136
88.0,0.05077636112521308
89.0,0.05088342057034209
90.0,0.05094962915946319
91.0,0.05099287391779722
92.0,0.0510005646855512
93.0,0.05096677130791369
94.0,0.05090105526052363
95.0,0.05078614438170001
96.0,0.05064320345175635
97.0,0.05048224067687468
98.0,0.05030037504308396
99.0,0.05010466604016678
100.0,0.0498815448349722
101.0,0.04964886205143382
102.0,0.04939723552729963
103.0,0.049139785358916305
104.0,0.04886494867018401
105.0,0.048581445169172094
106.0,0.04830158365692011
107.0,0.048019133832359895
108.0,0.047728590401536986
109.0,0.047444482356884476
110.0,0.047169318182579245
111.0,0.04688974145750016
112.0,0.04661003596476354
113.0,0.04633824124108801
114.0,0.04606492620085012
115.0,0.04578853787648446
116.0,0.04550602407138005
117.0,0.04523445263094067
118.0,0.04496657864384204
119.0,0.044702547407379056
120.0,0.044440506144493575
121.0,0.044179927669368096
122.0,0.04392221930698623
123.0,0.043666062738558664
124.0,0.043412127316564575
125.0,0.043162077186854775
126.0,0.04291234675136657
127.0,0.04266480171378617
128.0,0.042421664647467106
129.0,0.04218211766115387
130.0,0.041946016518943086
131.0,0.04171179912999676
132.0,0.041485426556432725
133.0,0.04126504073145981
134.0,0.04105270934728364
135.0,0.04084625699943406
136.0,0.04064545711425899
137.0,0.040452162258212604
138.0,0.04026786710155231
139.0,0.040093042637952464
140.0,0.03993068070237607
141.0,0.039775849233508714
142.0,0.03963119486999697
143.0,0.0394952875624264
144.0,0.03937051211155296
145.0,0.03926113335491016
146.0,0.039164040686884005
147.0,0.039077400083629366
148.0,0.03900157710289498
149.0,0.038936421943528254
150.0,0.03888442884979265
151.0,0.03884212016358535
152.0,0.038808098641955724
153.0,0.03879044159882794
154.0,0.03877906575091361
155.0,0.03877630651252334
156.0,0.03878318835124367
157.0,0.038798942007672255
158.0,0.03882296847202332
159.0,0.038853799475048634
160.0,0.0388908090656207
161.0,0.038933252884908565
162.0,0.03898741648202314
163.0,0.03902589405098206
164.0,0.039089586529517384
165.0,0.03914568571047444
166.0,0.03919853288047159
167.0,0.039257371643869665
168.0,0.039318022447073
169.0,0.03937853145373427
170.0,0.0394398035725233
171.0,0.03949707140312797
172.0,0.03955237593264266
173.0,0.03960555842059743
174.0,0.039657045448796724
175.0,0.03970572463010258
176.0,0.0397509987355818
177.0,0.03979251350734386
178.0,0.0398300665081634
179.0,0.03986350621505763
180.0,0.03989277863449331
181.0,0.03991606679702531
182.0,0.03993687118584821
183.0,0.03995747894843088
184.0,0.03997011537672496
185.0,0.03997641515319189
186.0,0.03997895728059919
187.0,0.039977980331613594
188.0,0.03997603549478124
189.0,0.039970711765695555
190.0,0.03996166565947695
191.0,0.03995107438827061
192.0,0.03993511773994857
193.0,0.03991656751623818
194.0,0.03989605845591987
195.0,0.03987380533001689
196.0,0.03985708638762259
197.0,0.03981878408474043
198.0,0.03980071007564723
199.0,0.03976931810644574
200.0,0.03973803484676963
201.0,0.03970806193032783
202.0,0.039677695742719454
203.0,0.0396473711177901
204.0,0.039616160214242135
205.0,0.03958282491269699
206.0,0.03955314454907655
207.0,0.03952217278866604
208.0,0.039491132382437455
209.0,0.039460258816978344
210.0,0.039429298369391075
211.0,0.03939914702331937
212.0,0.039369378015309764
213.0,0.039340120934455214
214.0,0.039311059943183735
215.0,0.03928093810766947
216.0,0.03925411591528111
217.0,0.03922662626527068
218.0,0.03919935904854843
219.0,0.03917251934023458
220.0,0.03914554005416643
221.0,0.03911939706462697
222.0,0.039093431634282694
223.0,0.03906870473534946
224.0,0.03904245848204074
225.0,0.03901062349589318
226.0,0.038995390697775856
227.0,0.038963191868298
228.0,0.03894591437264283
229.0,0.03891293044061883
230.0,0.03889483003456751
231.0,0.03886224819173917
232.0,0.038843637842345125
