"Iteration: Iteration","L/D Monitor: Expression"
1,0.42512026968496941
2,0.46627773641856518
3,0.44090756146138732
4,0.46773291559857205
5,0.57726719881668265
6,0.81614053956772936
7,1.2256717041244951
8,1.9001044752992386
9,2.6835961171849627
10,3.3132561494488333
11,3.8349847565917172
12,4.356480599707159
13,4.895636023731786
14,5.4552074255316008
15,5.9157006628707975
16,6.5570874756324349
17,7.1323937454239834
18,7.710581561247233
19,8.3360316499143039
20,9.0679905753317627
21,9.7389635081332226
22,10.479658242514764
23,11.339270923704728
24,12.154292090244322
25,12.936989587508911
26,13.674941913620941
27,14.417942152522016
28,15.060779666765161
29,15.685688128570607
30,16.314746760996449
31,16.937694164304702
32,17.55581278276404
33,18.154692410705263
34,18.752069421748214
35,19.344267282223171
36,19.945574709642738
37,20.515917200550255
38,21.142465470965231
39,21.756697014061309
40,22.356661528928779
41,22.960932561132353
42,23.507928034803932
43,24.193056191195627
44,24.735856584057291
45,25.360847766366067
46,25.985701496046264
47,26.599127000923929
48,27.197020138169428
49,27.794299808567814
50,28.38218393847222
51,28.931897154635134
52,29.510675071297978
53,30.08139884980266
54,30.633771587122673
55,31.1646046657686
56,31.687374368204914
57,32.169806093946868
58,32.633080048679524
59,33.072863317921488
60,33.413748045025834
61,33.886503380547921
62,34.181563034521879
63,34.566283720124069
64,34.803655307762519
65,35.101276132035629
66,35.283658752541513
67,35.46505508715429
68,35.632102349946926
69,35.743042547745183
70,35.928979576715427
71,35.998596051426048
72,36.102419199826542
73,36.161483827318584
74,36.243816609766753
75,36.315231523356005
76,36.393308754876188
77,36.472870697625801
78,36.562130759250543
79,36.653428114692161
80,36.757017980117624
81,36.871816829946297
82,37.010477172294799
83,37.135597310654717
84,37.308360562677542
85,37.454203119996698
86,37.657413258718847
87,37.819751830443586
88,38.045194232059053
89,38.229234050982207
90,38.473824586509551
91,38.692158848576867
92,38.920668500265116
93,39.155530664935242
94,39.39311578567488
95,39.634515583084543
96,39.872392553396601
97,40.108538637021184
98,40.342833486700734
99,40.574321112944752
100,40.797841775773549
101,41.005345246256987
102,41.251729052686024
103,41.451760162727027
104,41.657630684483678
105,41.850115742412136
106,42.040405338475878
107,42.227245010101221
108,42.40914361647615
109,42.587047405483233
110,42.75853848071214
111,42.92497402924333
112,43.086601693726664
113,43.244905913729568
114,43.40060701842652
115,43.553941828290782
116,43.705274782350394
117,43.85499601728845
118,44.002490456397247
119,44.148928974829097
120,44.297066759344624
121,44.444549364526367
122,44.591886882776535
123,44.739167242848403
