"Iteration: Iteration","Drag Coefficient Monitor: Force Coefficient"
1,4.8797785202681316
2,3.0392861103091131
3,1.8164220535978892
4,1.0995101789132427
5,0.66037707142093582
6,0.3959699302956432
7,0.23599320586723327
8,0.1444114793658417
9,0.10763862787344464
10,0.096120841480283922
11,0.090656850543094442
12,0.085017809203419795
13,0.079263346542242111
14,0.073537149111226052
15,0.068834456702540098
16,0.063925177055447868
17,0.060064695006483045
18,0.056687149754199931
19,0.053486575914516145
20,0.050502867096895158
21,0.047706821579209913
22,0.045124295327035935
23,0.042795069666021077
24,0.040742195685382253
25,0.03893741037410333
26,0.037422417060544194
27,0.036125195342383967
28,0.035047594604486004
29,0.034085399281815948
30,0.03320077377529336
31,0.032390519825280496
32,0.031642233441228552
33,0.030957093989717271
34,0.030305132095225965
35,0.029689426722448814
36,0.029080927696558991
37,0.028536473522097094
38,0.027937016596275628
39,0.027369504654920114
40,0.026840231612285655
41,0.026322993721086305
42,0.025862084131778051
43,0.025325524122344713
44,0.024893836445452899
45,0.024417000330948839
46,0.023957330331639441
47,0.023519262309875638
48,0.02310357285930003
49,0.02269499104511228
50,0.022303477856484264
51,0.021947178718703778
52,0.021575235705466239
53,0.021215954391333766
54,0.020876021925281475
55,0.02055603575910081
56,0.020245362701409329
57,0.01996398590780895
58,0.019697466319014863
59,0.019447988342976792
60,0.019257593439042459
61,0.018998883934648311
62,0.018838112145671885
63,0.018633052649905696
64,0.018507214621491758
65,0.018352226685853252
66,0.01825853314584381
67,0.018168322103800014
68,0.018087416616454192
69,0.018035000221309144
70,0.017954205080563512
71,0.017923540867369043
72,0.017887075618814044
73,0.01786403637251429
74,0.017846533945867563
75,0.017830226506033053
76,0.01781016786363683
77,0.017791439209599053
78,0.01777022408088471
79,0.017751075549771619
80,0.017727776850213352
81,0.017701487273650583
82,0.017672275275417176
83,0.017636387234430784
84,0.017592752611365774
85,0.017550386909027077
86,0.017496641310228985
87,0.017449981003703149
88,0.017388551184198128
89,0.017333676281951114
90,0.017264444983242973
91,0.017201878847887778
92,0.01713405692466979
93,0.017064720086600014
94,0.016995216196464422
95,0.016924602181325563
96,0.016856053174642865
97,0.016788442376341084
98,0.016721677491708109
99,0.016656109906815549
100,0.016594037368328665
101,0.016534585133404799
102,0.016467604067504131
103,0.01641131354832567
104,0.016355874760243739
105,0.016306823729770312
106,0.016257869655913325
107,0.016209562478361597
108,0.016162689498495995
109,0.016117135259975785
110,0.016073957940343338
111,0.016032659322030268
112,0.015992945906763593
113,0.015954340737081074
114,0.015916560221039246
115,0.015879544775593911
116,0.015843174291855937
117,0.015807298522022478
118,0.015772085307631065
119,0.01573729387947085
120,0.015701797584996662
121,0.015666410834843048
122,0.015631024465325341
123,0.01559561869402166
124,0.015560103209866271
125,0.015524477281352587
126,0.015488600944008106
127,0.01545245107109721
128,0.015416055288835887
129,0.01537940740672143
130,0.015342556555297947
131,0.015306115198882338
132,0.015268856283407153
133,0.015231330676923161
134,0.01519378682750868
135,0.01515640771716124
136,0.015119158581611138
137,0.015082043387581094
138,0.01504509004017599
139,0.015008459262488628
140,0.01497219795386562
141,0.014936368530547764
142,0.014901092473888723
143,0.014866397159980104
144,0.014832314204909882
145,0.014798964386998219
146,0.01476640986313741
147,0.014734732241844127
148,0.014703980103280853
149,0.014674181265992407
150,0.014645389239726364
151,0.014617633512275826
152,0.014590923837617904
153,0.014565300345711326
154,0.014540774834685504
155,0.014517356817633375
156,0.014495039388170603
157,0.01447381675367912
158,0.014453911865295356
159,0.014434753591445941
160,0.014416515784838454
161,0.014399273437126799
162,0.014382996428378571
163,0.014367634217199452
164,0.014353124180537111
165,0.01433938911718146
166,0.014326381068670476
167,0.014314061038832876
168,0.014302345674781607
169,0.014291202748696078
170,0.014280576776130288
171,0.014269821417922737
172,0.014260848218252613
173,0.014250687628000441
174,0.014241840497218926
175,0.014233066014783781
176,0.014224525747146973
177,0.014216246214197719
178,0.01420816984938
179,0.0142002359138806
180,0.014192406837784707
181,0.014184663832552725
182,0.014176995611291102
183,0.014169392020044193
184,0.014161844301140473
185,0.014153973035365192
186,0.014146624876436385
187,0.014139274675568995
188,0.014131957898764329
189,0.0141248280877522
190,0.014117518064544535
191,0.014110086921852203
192,0.014102637136121096
193,0.014095380574952725
194,0.014088103909067262
195,0.014080985406568667
196,0.014073826575905668
197,0.014066807118812495
198,0.014059771321966315
199,0.014052768559650599
200,0.014046050585867957
201,0.014039335966207149
202,0.014032614405647867
203,0.014025936540682014
204,0.014019333867114696
205,0.014012816827877913
206,0.014006384122220732
207,0.014000031977598925
208,0.013993758179387904
209,0.013987559948521328
210,0.013981438714346511
211,0.013975393682174991
212,0.013969279163961958
213,0.013963419312150059
214,0.013957652955325136
215,0.013951934731076924
216,0.013946261233468423
217,0.013940655404059627
218,0.013935096386810879
