"Iteration","L/D Monitor: L/D Monitor"
1.0,0.6173444667819986
2.0,0.6476289030622441
3.0,0.5797417719096352
4.0,0.5235137461117756
5.0,0.6079717885186695
6.0,0.7609119589619759
7.0,1.0144882938523057
8.0,1.4536913977781902
9.0,2.020682958464154
10.0,2.593772706097321
11.0,3.082020100104305
12.0,3.524511139646857
13.0,3.945959079590989
14.0,4.366640690026193
15.0,4.705439733154783
16.0,5.1610995623289675
17.0,5.4942685439405885
18.0,6.091684082549247
19.0,6.515396934502711
20.0,7.021330957243262
21.0,7.523353715658244
22.0,8.122752521812622
23.0,8.733127547288476
24.0,9.361670177550312
25.0,9.996982351856797
26.0,10.625417263861346
27.0,11.255143529732514
28.0,11.811147968969594
29.0,12.41473442979235
30.0,12.967013995634735
31.0,13.52085657047314
32.0,14.08147654217932
33.0,14.65415117666891
34.0,15.228947384530725
35.0,15.809492198506673
36.0,16.39590842628494
37.0,16.985374823390806
38.0,17.59783146293369
39.0,18.229465456144727
40.0,18.845822859945788
41.0,19.491469535611834
42.0,20.143372485470504
43.0,20.80499940030019
44.0,21.474852043339855
45.0,22.100984391451327
46.0,22.858024224391972
47.0,23.481499757089544
48.0,24.18952828933825
49.0,24.90979461911661
50.0,25.632816974885365
51.0,26.362818309823247
52.0,27.091208526819713
53.0,27.80627920826534
54.0,28.51047998134099
55.0,29.207828362205834
56.0,29.890881996345
57.0,30.563081294906784
58.0,31.225169204351694
59.0,31.84679841374326
60.0,32.44181944942721
61.0,32.89671185341099
62.0,33.55050947233783
63.0,33.94953022785588
64.0,34.46337804236635
65.0,34.77282541617324
66.0,35.07716783958463
67.0,35.35213014191931
68.0,35.58202699053417
69.0,35.7605590837133
70.0,35.86015170233377
71.0,35.94119038361732
72.0,36.00048136901906
73.0,36.034215169886956
74.0,35.9972491712818
75.0,35.986418290714816
76.0,35.92562233271334
77.0,35.88411849331322
78.0,35.84674267682729
79.0,35.81566575129974
80.0,35.78950370575228
81.0,35.77142818769899
82.0,35.766688733834506
83.0,35.768549622755756
84.0,35.81512148020769
85.0,35.87820547484693
86.0,35.94673986853757
87.0,36.03654754981684
88.0,36.14321049726159
89.0,36.28055426017272
90.0,36.42467453858854
91.0,36.592941071683505
92.0,36.781378493637476
93.0,36.97388590524287
94.0,37.17682916278217
95.0,37.39165279397596
96.0,37.61540807809284
97.0,37.8490216988811
98.0,38.08807834538111
99.0,38.32955399193028
100.0,38.57516443636124
101.0,38.81742510461184
102.0,39.065590608986106
103.0,39.31910249554976
104.0,39.56295752909738
105.0,39.8010576209736
106.0,40.02506829319562
107.0,40.27382224312078
108.0,40.48700388614637
109.0,40.715822573021605
110.0,40.94930357751598
111.0,41.14134768082964
112.0,41.36119113588488
113.0,41.592317492228496
114.0,41.79232105832682
115.0,42.01491331587554
116.0,42.21581392425045
117.0,42.418628872625305
118.0,42.61991325128935
119.0,42.82214390327332
120.0,43.02395556892381
121.0,43.2302488281567
122.0,43.423569021772046
123.0,43.62611476645303
124.0,43.832029960121304
125.0,44.0383037468907
126.0,44.24573871317019
127.0,44.45315021352775
128.0,44.662086722723366
129.0,44.858212351049964
130.0,45.06728757485401
131.0,45.280428983544425
132.0,45.49409609526711
133.0,45.70844588400532
134.0,45.92316414632909
135.0,46.137464680447444
136.0,46.35073445003539
137.0,46.56241600068025
138.0,46.772533947119925
139.0,46.980645034979005
140.0,47.18633767307186
141.0,47.38922259387786
142.0,47.58908220472206
143.0,47.78500627532217
144.0,47.976760716633
145.0,48.16410254927097
146.0,48.34665532220245
147.0,48.52401067918598
148.0,48.69299553024454
149.0,48.85990375006001
150.0,49.02125149356621
151.0,49.1772018070263
152.0,49.3252172036496
153.0,49.46641609415869
154.0,49.60088529700563
155.0,49.728202072583045
156.0,49.85021493870731
157.0,49.966441247822964
158.0,50.076644874287204
159.0,50.1827973546284
160.0,50.281377550211694
161.0,50.37349371693294
162.0,50.4602009576228
163.0,50.54148363658408
164.0,50.61891629038431
165.0,50.69236620310053
166.0,50.76171300120396
167.0,50.831330676469
168.0,50.892239833216166
169.0,50.9505659894886
170.0,51.00618896869486
171.0,51.05898067828819
172.0,51.10933426612305
173.0,51.15774560881482
174.0,51.20452972288095
175.0,51.249911547117804
176.0,51.294046769738394
177.0,51.33726186001387
178.0,51.38007735024221
179.0,51.42190155447949
180.0,51.46329574772817
181.0,51.50456114231606
182.0,51.54582295984165
183.0,51.58719250353538
184.0,51.6313303574052
185.0,51.672331201577855
186.0,51.71348488420481
187.0,51.755493560613644
188.0,51.798269356816704
189.0,51.841701422479005
190.0,51.88366461915707
191.0,51.931370977404534
192.0,51.97490299511452
193.0,52.02237816961271
194.0,52.065903796107584
195.0,52.11382766210573
196.0,52.15836909664008
197.0,52.20676774917482
198.0,52.25212834401868
199.0,52.30080886674998
200.0,52.34673332506463
201.0,52.395577265857355
202.0,52.441900509541014
203.0,52.490702542912075
204.0,52.53718028457891
205.0,52.585781790837686
206.0,52.632238945850695
207.0,52.68051973756248
208.0,52.72682270979499
209.0,52.77462893246067
210.0,52.82061925798539
211.0,52.86769925950333
212.0,52.913417249599334
213.0,52.96009294732543
214.0,53.00523353894302
215.0,53.04833036077174
216.0,53.09462852835235
217.0,53.14014802921078
218.0,53.18502006997123
219.0,53.229363568197236
220.0,53.273225941066435
221.0,53.316660937646425
222.0,53.36184249101882
223.0,53.40376512384553
224.0,53.44499478490784
225.0,53.48635277409026
226.0,53.527815576047
227.0,53.56915837345299
228.0,53.61022012311467
229.0,53.65092043873446
230.0,53.691227808072036
231.0,53.7311522642532
232.0,53.77069762523004
233.0,53.809859008479215
234.0,53.848625127217886
235.0,53.88699470832098
236.0,53.92496127990897
237.0,53.9625116548012
238.0,53.99965301314529
239.0,54.0363709811693
240.0,54.07266632187772
241.0,54.10852252148174
242.0,54.14393485971357
243.0,54.17888912817159
244.0,54.21338781830402
245.0,54.247416599567316
246.0,54.28097667999367
247.0,54.31405596014122
248.0,54.34665709331001
249.0,54.37876572015937
250.0,54.410384014402595
251.0,54.44147313471528
252.0,54.472128185433085
253.0,54.502286506373245
254.0,54.53195341780382
255.0,54.56113039003267
256.0,54.589838846061234
257.0,54.618055356222996
258.0,54.6458011698007
259.0,54.6730845628655
260.0,54.69991596645803
261.0,54.72628826437633
262.0,54.75221842582079
263.0,54.77722237943156
264.0,54.80291285474544
265.0,54.82760414169529
266.0,54.85215788824172
267.0,54.87573653421935
268.0,54.89949294427837
269.0,54.9223148622462
270.0,54.94540366738854
271.0,54.96754986014787
272.0,54.99001248417041
273.0,55.01151917722252
274.0,55.03340910691228
275.0,55.05431520398521
276.0,55.07567954612021
277.0,55.096034536912676
278.0,55.116916758929
279.0,55.136759445527986
280.0,55.157221414941624
281.0,55.176569933702844
282.0,55.19661494248933
283.0,55.215523688510864
284.0,55.235133017812615
285.0,55.25361422166129
286.0,55.272823517565186
287.0,55.2909408035137
288.0,55.30979177736305
289.0,55.32757406629522
290.0,55.3460701734663
291.0,55.36351799899463
292.0,55.38164085879456
293.0,55.398765503790116
294.0,55.41652298757645
295.0,55.43335398086765
296.0,55.450767253378174
297.0,55.46732876666478
298.0,55.48441355924741
299.0,55.500707451127774
300.0,55.51746342576998
301.0,55.5334896322126
302.0,55.54990469390154
303.0,55.56564994402726
304.0,55.58172713327309
305.0,55.59717939150134
306.0,55.61291839778557
307.0,55.62807097702993
308.0,55.64346642094949
309.0,55.65831468860074
310.0,55.67336659060685
311.0,55.68790615942934
312.0,55.702624329924944
313.0,55.716883720971886
314.0,55.73127329922828
315.0,55.745162721909836
316.0,55.75917080127797
317.0,55.77277738339743
318.0,55.78648576528385
319.0,55.79979128966775
320.0,55.813182595096315
321.0,55.826184106649805
322.0,55.83925214184889
323.0,55.85193682070405
324.0,55.86468167484601
325.0,55.877063921659705
326.0,55.8894861442292
327.0,55.90156921607323
328.0,55.913675186466754
329.0,55.92546387055277
330.0,55.9372604234233
331.0,55.94875818093547
332.0,55.96025119401766
333.0,55.97146040504091
334.0,55.982653291306484
335.0,55.99357395683409
336.0,56.004466452527126
337.0,56.01511167005079
338.0,56.025703766788986
339.0,56.03606797177683
340.0,56.04637519994187
341.0,56.05646928373577
342.0,56.066498372752015
343.0,56.076325156071285
344.0,56.086081336080454
345.0,56.095644231349596
346.0,56.10513359294438
347.0,56.11443688325854
348.0,56.1236689331233
349.0,56.132715585534136
350.0,56.141696750910455
351.0,56.1504925295183
352.0,56.15922558679038
353.0,56.16777534978142
354.0,56.176265742606375
355.0,56.18457676942784
356.0,56.19282862145156
357.0,56.2009080004515
358.0,56.20892665941376
359.0,56.21678103962294
360.0,56.22457378851966
361.0,56.23224045036007
362.0,56.239806726475756
363.0,56.24720939277104
364.0,56.25457812531243
365.0,56.26178803798151
366.0,56.26895342051201
367.0,56.27596357998448
368.0,56.28293519404633
369.0,56.289745285431124
370.0,56.296536554516045
371.0,56.30315959749561
372.0,56.30977010171148
373.0,56.31620892860146
374.0,56.32264112206024
375.0,56.32890436535702
376.0,56.335165019074985
377.0,56.34125944722632
378.0,56.347355654983105
379.0,56.35328777222368
380.0,56.35922408200385
381.0,56.36499860168736
382.0,56.37077930605489
383.0,56.37636855394575
384.0,56.38197199322279
385.0,56.38738615485063
386.0,56.39286069737347
387.0,56.39812886933237
388.0,56.40346874102037
389.0,56.40858560649438
390.0,56.4137601168129
391.0,56.418728360814235
392.0,56.42374774468251
393.0,56.428591630767606
394.0,56.43347661863379
395.0,56.43821003022588
396.0,56.442982196770565
397.0,56.447618125695634
398.0,56.45228592756672
399.0,56.45682416959583
400.0,56.461387391639065
401.0,56.46582414587311
402.0,56.470280627961905
