"Iteration: Iteration","L/D Monitor: Expression"
1,0.062718787748628185
2,0.090439065847940786
3,0.11064804972389398
4,0.13468578556345454
5,0.19260927853053392
6,0.3006082625215612
7,0.46955326376812445
8,0.71455624134019913
9,1.0116903940959752
10,1.2952068445774516
11,1.5574826187501898
12,1.8358741069536624
13,2.1190922031509043
14,2.4088519718945274
15,2.6470654326607916
16,2.8756620388247249
17,3.1313850136728112
18,3.5121109108952746
19,3.845419834483073
20,4.3241235535052462
21,4.8352836521576306
22,5.388784366123593
23,5.983868789920443
24,6.621017658589353
25,7.2969120855575547
26,8.0773078074438889
27,8.7292539273116336
28,9.4958775419585297
29,10.195275962896934
30,10.883393657788188
31,11.613800848122509
32,12.238840105555594
33,12.986507316525394
34,13.621318008217594
35,14.373491050702906
36,15.003138385119806
37,15.77166730725313
38,16.389724968800152
39,17.139448027825615
40,17.734016264498003
41,18.454856853393455
42,19.015326833512599
43,19.627531436298799
44,20.231238787767786
45,20.802744876995693
46,21.352117299278085
47,21.876996322508553
48,22.381134130644206
49,22.863514838118149
50,23.324551636086142
51,23.76471597895258
52,24.184129719024206
53,24.580212739009276
54,24.958280840286633
55,25.318552743576031
56,25.650774705584315
57,25.956390909159808
58,26.238189117142845
59,26.456829254878595
60,26.743592834297139
61,26.932989751104035
62,27.168706818807507
63,27.321874344999951
64,27.477069907608552
65,27.623018187240341
66,27.72853280703487
67,27.894221834113889
68,27.968611564641222
69,28.047521465641513
70,28.162569799760941
71,28.226408852506342
72,28.327915690574955
73,28.392520608789017
74,28.503950443359194
75,28.586182292956146
76,28.698301440974845
77,28.805543421250924
78,28.916098733232644
79,29.030236065430561
80,29.150053908148543
81,29.2761482211558
82,29.408471565347575
83,29.547172304747967
84,29.691564928931204
85,29.84011785904924
86,29.991590835577057
87,30.145446139203351
88,30.301522749734819
89,30.45827493296871
90,30.614418739553571
91,30.768998806323392
92,30.921319596137927
93,31.071156270976708
94,31.217680678344596
95,31.359627825690936
96,31.498819133623897
97,31.63195362107318
98,31.75902161815792
99,31.879757107135831
100,31.995392888469087
101,32.105841089181666
102,32.211006970813365
103,32.310942969411883
104,32.405847564684073
105,32.493513478669207
106,32.579376223384706
107,32.662387819224001
108,32.741767925871756
109,32.817623366314407
110,32.890485320238433
111,32.962114098691899
112,33.030459127580151
113,33.09676234873362
114,33.162046305007728
115,33.226577095581753
116,33.29066159847325
117,33.354329230165476
118,33.417740061165588
119,33.480897602869597
120,33.544051220993701
121,33.607243595747093
122,33.670271773429924
123,33.733510756686059
124,33.79709343303967
125,33.860794151095831
126,33.924516626259042
127,33.988309089989606
128,34.052098386695988
129,34.115907435723337
130,34.179618788536381
131,34.243101765703621
132,34.306454696852988
133,34.3710137106521
134,34.433424601983994
135,34.493802879521745
136,34.556667300938031
137,34.618321047421865
138,34.678613450172236
139,34.73797073362001
140,34.796468711055482
141,34.854124279783498
142,34.910820868846741
143,34.966375862931656
144,35.021058930745376
145,35.074141292498339
146,35.125755477612444
147,35.175980048367286
148,35.224761641908238
149,35.272206154480124
150,35.318104469635799
151,35.362476802081503
152,35.405395527789985
153,35.446799861654149
154,35.486737026706862
155,35.525168146247005
156,35.562148192317579
