"Iteration","Lift Coefficient Monitor: Lift Coefficient Monitor"
1.0,6.495693881489117
2.0,4.2806970401583575
3.0,2.372227030743006
4.0,1.3332212377478752
5.0,0.9618920015826988
6.0,0.7247186505068651
7.0,0.5852316297571686
8.0,0.5208911358138698
9.0,0.5201572919945883
10.0,0.5594672071390651
11.0,0.60350384017593
12.0,0.6353458103910234
13.0,0.6582308277073544
14.0,0.6692166471112666
15.0,0.6920223474710719
16.0,0.7036367715331706
17.0,0.7271394391144688
18.0,0.7469663635903663
19.0,0.7644314415492616
20.0,0.7859786666741364
21.0,0.8007564229712119
22.0,0.8137744003419372
23.0,0.8275058722106442
24.0,0.8413252147871628
25.0,0.8552238905509318
26.0,0.870221636577791
27.0,0.8799453559223834
28.0,0.8929244554844528
29.0,0.9032879358626528
30.0,0.9133170946115098
31.0,0.9230506734993261
32.0,0.9326656660349247
33.0,0.9416276317830371
34.0,0.9502432217147521
35.0,0.9582544031966254
36.0,0.9655477179095904
37.0,0.9724581097781855
38.0,0.9790183285735703
39.0,0.9848963366051565
40.0,0.9903065954931929
41.0,0.9954359152789479
42.0,1.0001314273754078
43.0,1.004296014923499
44.0,1.007989569720254
45.0,1.0114803071018914
46.0,1.0142802583611503
47.0,1.0170817666756558
48.0,1.0196463347064573
49.0,1.0217702436915748
50.0,1.023415819981018
51.0,1.0246897750943214
52.0,1.0257748355334986
53.0,1.0266086847244171
54.0,1.027083737411022
55.0,1.027311834333733
56.0,1.0273035575352831
57.0,1.0270943041686054
58.0,1.0266948207059594
59.0,1.0261707621982157
60.0,1.0255935745342888
61.0,1.0251050182056667
62.0,1.0242648652581006
63.0,1.023673444591081
64.0,1.0227439065019144
65.0,1.0221636839882708
66.0,1.0216416041881997
67.0,1.021140890085144
68.0,1.0206943570089453
69.0,1.0205124941303068
70.0,1.0203176520583457
71.0,1.0203122082352647
72.0,1.0204537123091246
73.0,1.021113793325075
74.0,1.0214226364450296
75.0,1.0226039488347651
76.0,1.0236428100503
77.0,1.0247267834156975
78.0,1.0259104157196084
79.0,1.0272528998382713
80.0,1.0287595154685225
81.0,1.0304103703181031
82.0,1.0322223859504918
83.0,1.0341042044359208
84.0,1.036089161975746
85.0,1.0385618099259912
86.0,1.0401625138972477
87.0,1.0427545879461342
88.0,1.0445884924290052
89.0,1.0473095846540617
90.0,1.0495351636635908
91.0,1.0518330328869518
